Timestamp,Vecuma grupa,Mīļākais filmu žanrs,Kāpēc patīk izvēlētais žanrs?
16/02/2025 18:56:18,10-20,Šausmu,Tas sniedz negaidītus sižeta pavērsienus
16/02/2025 20:54:59,10-20,Asa sižeta,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 21:07:58,10-20,Trilleris,Tas sniedz negaidītus sižeta pavērsienus
17/02/2025 13:24:21,10-20,Animācijas,Uzlabo manu garastāvokli
08/02/2025 09:29:33,10-20,Trilleris,Tas sniedz negaidītus sižeta pavērsienus
08/02/2025 13:32:23,50-60,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
08/02/2025 13:34:57,50-60,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
09/02/2025 18:35:38,10-20,Šausmu,Tas sniedz dziļu un emocionālu pieredzi
09/02/2025 18:36:46,20-30,Romantika,Tas ļauj aizbēgt no ikdienas realitātes
09/02/2025 18:38:36,30-40,Romantika,Tas sniedz dziļu un emocionālu pieredzi
10/02/2025 19:52:17,10-20,Drāmas,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
10/02/2025 19:53:02,30-40,Drāmas,Tas sniedz dziļu un emocionālu pieredzi
10/02/2025 20:25:45,50-60,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
13/02/2025 11:05:25,10-20,Animācijas,Uzlabo manu garastāvokli
13/02/2025 11:20:44,40-50,Trilleris,Tas liek man aizdomāties par dzīvi un cilvēku attiecībām
13/02/2025 11:22:59,50-60,Asa sižeta,Tas ļauj aizbēgt no ikdienas realitātes
13/02/2025 11:26:36,50-60,Asa sižeta,Tas sniedz negaidītus sižeta pavērsienus
13/02/2025 11:27:48,40-50,Mistērija,Tas apvieno izklaidi ar vēstījumu
13/02/2025 11:30:04,<10,Trilleris,Tas sniedz negaidītus sižeta pavērsienus
13/02/2025 11:44:31,30-40,Dokumentālā,Tas apvieno izklaidi ar vēstījumu
13/02/2025 11:53:18,50-60,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
13/02/2025 11:54:26,40-50,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
13/02/2025 12:35:19,10-20,Asa sižeta,Tas ļauj aizbēgt no ikdienas realitātes
13/02/2025 12:36:26,10-20,Romantika,Tas sniedz dziļu un emocionālu pieredzi
13/02/2025 13:07:37,10-20,Komēdijas,Tas ļauj aizbēgt no ikdienas realitātes
13/02/2025 13:22:01,10-20,Mistērija,Tas ļauj aizbēgt no ikdienas realitātes
13/02/2025 13:26:20,10-20,Romantika,Tas liek man aizdomāties par dzīvi un cilvēku attiecībām
13/02/2025 13:26:59,10-20,Romantika,Tas liek man aizdomāties par dzīvi un cilvēku attiecībām
13/02/2025 13:27:04,40-50,Drāmas,Tas apvieno izklaidi ar vēstījumu
13/02/2025 13:27:27,10-20,Animācijas,Uzlabo manu garastāvokli
13/02/2025 13:27:41,10-20,Asa sižeta,Tas sniedz negaidītus sižeta pavērsienus
13/02/2025 13:27:46,10-20,Komēdijas,Uzlabo manu garastāvokli
13/02/2025 13:31:36,10-20,Animācijas,Uzlabo manu garastāvokli
13/02/2025 13:57:09,10-20,Drāmas,Tas sniedz dziļu un emocionālu pieredzi
13/02/2025 13:59:32,10-20,Komēdijas,Uzlabo manu garastāvokli
13/02/2025 14:15:18,30-40,Drāmas,Tas liek man aizdomāties par dzīvi un cilvēku attiecībām
13/02/2025 14:42:14,10-20,Komēdijas,Uzlabo manu garastāvokli
13/02/2025 15:13:25,10-20,Trilleris,Tas sniedz negaidītus sižeta pavērsienus
13/02/2025 15:31:02,10-20,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
13/02/2025 16:44:22,10-20,Šausmu,Tas sniedz negaidītus sižeta pavērsienus
13/02/2025 19:45:34,10-20,Komēdijas,Uzlabo manu garastāvokli
13/02/2025 20:14:19,40-50,Dokumentālā,Tas sniedz dziļu un emocionālu pieredzi
14/02/2025 07:58:42,10-20,Asa sižeta,Iiespaidīgas cīņas un episkas ainas
14/02/2025 09:51:11,70+,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
14/02/2025 09:54:03,<10,Animācijas,Uzlabo manu garastāvokli
14/02/2025 09:54:23,10-20,Drāmas,Tas ļauj aizbēgt no ikdienas realitātes
14/02/2025 09:54:34,60-70,Komēdijas,Uzlabo manu garastāvokli
14/02/2025 09:54:56,70+,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
14/02/2025 09:57:41,20-30,Romantika,Tas liek man aizdomāties par dzīvi un cilvēku attiecībām
14/02/2025 09:58:16,20-30,Romantika,Tas ļauj aizbēgt no ikdienas realitātes
14/02/2025 09:59:13,60-70,Drāmas,Tas ļauj aizbēgt no ikdienas realitātes
14/02/2025 09:59:30,60-70,Drāmas,Tas sniedz dziļu un emocionālu pieredzi
14/02/2025 09:59:52,60-70,Drāmas,Tas ļauj aizbēgt no ikdienas realitātes
14/02/2025 10:00:10,70+,Dokumentālā,Tas liek man aizdomāties par dzīvi un cilvēku attiecībām
14/02/2025 10:00:21,70+,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
14/02/2025 10:01:08,50-60,Dokumentālā,Balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi
14/02/2025 10:01:30,<10,Animācijas,Uzlabo manu garastāvokli
14/02/2025 10:10:52,10-20,Romantika,Uzlabo manu garastāvokli
15/02/2025 21:22:49,40-50,Romantika,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:33:18,10-20,Animācijas,Uzlabo manu garastāvokli
16/02/2025 18:33:44,10-20,Romantika,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:34:15,10-20,Animācijas,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:36:55,10-20,Drāmas,Tas ļauj aizbēgt no ikdienas realitātes
16/02/2025 18:37:58,10-20,Komēdijas,Uzlabo manu garastāvokli
16/02/2025 18:39:36,10-20,Romantika,Uzlabo manu garastāvokli
16/02/2025 18:45:04,10-20,Komēdijas,Uzlabo manu garastāvokli