Timestamp,Jūsu vecuma grupa:,Kāds ir jūsu mīļākais filmu žanrs?,Kāpēc jums patīk jūsu izvēlētais žanrs?
16/02/2025 18:56:18,10-20,Šausmu,"Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
16/02/2025 20:54:59,10-20,Asa sižeta,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
16/02/2025 21:07:58,10-20,Trilleris,"Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
17/02/2025 13:24:21,10-20,Animācijas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas"
08/02/2025 09:29:33,10-20,Trilleris,"Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
08/02/2025 13:32:23,50-60,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
08/02/2025 13:34:57,50-60,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
09/02/2025 18:35:38,10-20,Šausmu,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi, Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
09/02/2025 18:36:46,20-30,Romantiskās filmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
09/02/2025 18:38:36,30-40,Romantiskās filmas,"Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
10/02/2025 19:52:17,10-20,Drāmas,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
10/02/2025 19:53:02,30-40,Drāmas,"Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
10/02/2025 20:25:45,50-60,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
13/02/2025 11:05:25,10-20,Animācijas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
13/02/2025 11:20:44,40-50,Trilleris,"Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
13/02/2025 11:22:59,50-60,Asa sižeta,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
13/02/2025 11:26:36,50-60,Asa sižeta,"Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
13/02/2025 11:27:48,40-50,Mistērija,"Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
13/02/2025 11:30:04,<10,Trilleris,"Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
13/02/2025 11:44:31,30-40,Dokumentālās,"Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
13/02/2025 11:53:18,50-60,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
13/02/2025 11:54:26,40-50,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
13/02/2025 12:35:19,10-20,Asa sižeta,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
13/02/2025 12:36:26,10-20,Romantiskās filmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu"
13/02/2025 13:07:37,10-20,Komēdijas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
13/02/2025 13:22:01,10-20,Mistērija,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
13/02/2025 13:26:20,10-20,Romantiskās filmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
13/02/2025 13:26:59,10-20,Romantiskās filmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu"
13/02/2025 13:27:04,40-50,Drāmas,"Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
13/02/2025 13:27:27,10-20,Animācijas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu"
13/02/2025 13:27:41,10-20,Asa sižeta,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
13/02/2025 13:27:46,10-20,Komēdijas,Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli
13/02/2025 13:31:36,10-20,Animācijas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
13/02/2025 13:57:09,10-20,Drāmas,"Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
13/02/2025 13:59:32,10-20,Komēdijas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
13/02/2025 14:15:18,30-40,Drāmas,"Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
13/02/2025 14:42:14,10-20,Komēdijas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu"
13/02/2025 15:13:25,10-20,Trilleris,"Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
13/02/2025 15:31:02,10-20,Dokumentālās,"Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
13/02/2025 16:44:22,10-20,Šausmu,"Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus"
13/02/2025 19:45:34,10-20,Komēdijas,Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli
13/02/2025 20:14:19,40-50,Dokumentālās,"Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
14/02/2025 07:58:42,10-20,Asa sižeta,"Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas"
14/02/2025 09:51:11,70+,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
14/02/2025 09:54:03,<10,Animācijas,Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli
14/02/2025 09:54:23,10-20,Drāmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
14/02/2025 09:54:34,60-70,Komēdijas,Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli
14/02/2025 09:54:56,70+,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
14/02/2025 09:57:41,20-30,Romantiskās filmas,"Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
14/02/2025 09:58:16,20-30,Romantiskās filmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
14/02/2025 09:59:13,60-70,Drāmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
14/02/2025 09:59:30,60-70,Drāmas,"Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi"
14/02/2025 09:59:52,60-70,Drāmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
14/02/2025 10:00:10,70+,Dokumentālās,"Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
14/02/2025 10:00:21,70+,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
14/02/2025 10:01:08,50-60,Dokumentālās,"Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi"
14/02/2025 10:01:30,<10,Animācijas,Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli
14/02/2025 10:10:52,10-20,Romantiskās filmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām"
15/02/2025 21:22:49,40-50,Romantiskās filmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
16/02/2025 18:33:18,10-20,Animācijas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu"
16/02/2025 18:33:44,10-20,Romantiskās filmas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
16/02/2025 18:34:15,10-20,Animācijas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
16/02/2025 18:36:55,10-20,Drāmas,"Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Šis žanrs mani piesaista, jo tajā vienmēr ir iespaidīgas cīņas un episkas ainas, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
16/02/2025 18:37:58,10-20,Komēdijas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē"
16/02/2025 18:39:36,10-20,Romantiskās filmas,"Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli, Es izbaudu šo žanru, jo tas ļauj man aizbēgt no ikdienas realitātes un iejusties citā pasaulē, Šī žanra filmas man patīk, jo tās sniedz dziļu un emocionālu pieredzi, Es izbaudu šo žanru, jo tas vienmēr liek man aizdomāties par dzīvi un cilvēku attiecībām, Man patīk šī žanra filmas, jo tās ir balstītas uz patiesiem notikumiem un ļauj labāk saprast vēsturi, Šī žanra filmas mani aizrauj ar savu atmosfēru un unikālo noskaņu, Es izvēlos šo žanru, jo tas man sniedz negaidītus pārsteigumus un sižeta pavērsienus, Man patīk šis žanrs, jo tas apvieno izklaidi ar vēstījumu un liek aizdomāties par svarīgiem jautājumiem"
16/02/2025 18:45:04,10-20,Komēdijas,Šī žanra filmas ir smieklīgas un vienmēr uzlabo manu garastāvokli